IBM
Call: ibm -r -g 4213 
Seed: 123
Date: Fri Nov 02 10:17:32 2018
Version: 2018-11-01 09:04:42 UTC (rev. aebc669)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:8288

*initialisation_partition[init_1]
ewuilibrium_shortcut: 1969
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
9-5 3159 7 7 66.6675 13 0.000894226 368.098 0 1 0.14999 101.795 0.161018 4.79e-009 2.89 0 1 2.82348 18.452
9-3 4107 1 1 14.3637 2 1.05884e-005 368.098 0 0 0.150009 101.799 0.160979 4.79e-009 2.89 0 1 2.85474 18.2017
1-2 11368 1 1 14.3648 2 1.05909e-005 368.098 0 0 0.149973 101.792 0.161007 4.79e-009 2.89 0 1 2.08392 18.1509
2-1 3052 10 10 79.5375 15 0.00148932 368.098 0 1 0.149996 101.807 0.161015 4.79e-009 2.89 0 1 2.15799 18.0051
3-4 2698 18 18 95.1989 16 0.0025037 368.098 0 1 0.150013 101.804 0.160992 4.79e-009 2.89 0 1 2.26857 18.3014
4-1 9347 20 20 100.727 16 0.00294729 368.098 0 1 0.150004 101.812 0.160991 4.79e-009 2.89 0 1 2.37896 18.05
9-4 368 4 4 46.3685 9 0.000313127 368.098 0 0 0.15 101.799 0.160965 4.79e-009 2.89 0 1 2.87378 18.3787
1-1 4751 5 5 54.185 10 0.000491188 368.098 0 0 0.150016 101.799 0.160983 4.79e-009 2.89 0 1 2.05 18.0186
8-1 2581 2 2 26.6887 5 6.34489e-005 368.098 0 1 0.149991 101.795 0.160989 4.79e-009 2.89 0 1 2.793 18.0986
6-2 2601 1 1 14.3675 2 1.05966e-005 368.098 0 0 0.150001 101.813 0.161003 4.79e-009 2.89 0 1 2.50526 18.1858
3-1 3339 9 9 75.8776 15 0.00129976 368.098 0 1 0.149984 101.799 0.161017 4.79e-009 2.89 0 1 2.27281 18.07
1-1 16547 14 14 89.6812 16 0.00210689 368.098 0 1 0.149984 101.809 0.161005 4.79e-009 2.89 0 1 2.07982 18.0847
2-3 2432 1 1 14.3661 2 1.05936e-005 368.098 0 0 0.149999 101.803 0.161003 4.79e-009 2.89 0 1 2.18176 18.2409
9-1 1824 15 15 91.3692 16 0.00222355 368.098 0 1 0.150026 101.788 0.160984 4.79e-009 2.89 0 1 2.8991 18.0105
9-1 9522 2 2 26.6929 5 6.34774e-005 368.098 0 0 0.149983 101.799 0.161013 4.79e-009 2.89 0 1 2.82211 18.0372
2-10 328 6 6 60.8996 12 0.000688448 368.098 0 1 0.15 101.8 0.160994 4.79e-009 2.89 0 1 2.1576 18.9505
1-7 113 9 9 75.8764 15 0.0012997 368.098 0 1 0.149988 101.807 0.160984 4.79e-009 2.89 0 1 2.00358 18.6841
